
==============================
REPLAN_ID,1
==============================
t,x,y,z,vx,vy,vz,ax,ay,az
1.84,-0.944538,-4.03429,0.0870827,0.402201,0.384268,0.0790418,0.0319244,-0.0289681,0.0041569
1.85,-0.940515,-4.03045,0.0878733,0.402522,0.383975,0.0790806,0.032182,-0.0296072,0.00359815
1.86,-0.936582,-4.0267,0.0886459,0.402837,0.383683,0.0791131,0.0324336,-0.0302314,0.00305242
1.87,-0.932552,-4.02287,0.0894371,0.403166,0.383373,0.0791388,0.0334168,-0.0316851,0.00209032
1.88,-0.928518,-4.01904,0.0902286,0.403505,0.383049,0.0791549,0.0344001,-0.0331389,0.00112822
1.89,-0.924482,-4.01521,0.0910202,0.403854,0.382711,0.0791613,0.0353833,-0.0345926,0.000166117
1.9,-0.920441,-4.01138,0.0918118,0.404213,0.382357,0.0791582,0.0363665,-0.0360464,-0.000795984
1.91,-0.916397,-4.00756,0.0926033,0.404582,0.38199,0.0791454,0.0373497,-0.0375002,-0.00175809
1.92,-0.91235,-4.00374,0.0933947,0.40496,0.381607,0.079123,0.0383329,-0.0389539,-0.00272019
1.93,-0.908298,-3.99993,0.0941858,0.405348,0.381211,0.079091,0.0393161,-0.0404077,-0.00368229
1.94,-0.904243,-3.99612,0.0949765,0.405746,0.380799,0.0790494,0.0402993,-0.0418614,-0.00464439
1.95,-0.900183,-3.99231,0.0957667,0.406154,0.380373,0.0789981,0.0412826,-0.0433152,-0.00560649
1.96,-0.89612,-3.98851,0.0965564,0.406572,0.379933,0.0789372,0.0422658,-0.044769,-0.00656859
1.97,-0.892052,-3.98471,0.0973454,0.407,0.379478,0.0788667,0.043249,-0.0462227,-0.00753069
1.98,-0.88798,-3.98092,0.0981337,0.407437,0.379009,0.0787866,0.0442322,-0.0476765,-0.0084928
1.99,-0.883903,-3.97713,0.0989211,0.407884,0.378524,0.0786969,0.0452154,-0.0491302,-0.0094549
2,-0.879822,-3.97335,0.0997076,0.408341,0.378026,0.0785975,0.0461986,-0.050584,-0.010417
2.01,-0.875736,-3.96957,0.100493,0.408808,0.377513,0.0784886,0.0471818,-0.0520378,-0.0113791
2.02,-0.871646,-3.9658,0.101277,0.409285,0.376985,0.0783699,0.0481651,-0.0534915,-0.0123412
2.03,-0.86755,-3.96203,0.10206,0.409772,0.376443,0.0782417,0.0491483,-0.0549453,-0.0133033
2.04,-0.86345,-3.95827,0.102842,0.410268,0.375886,0.0781039,0.0501315,-0.056399,-0.0142654
2.05,-0.859345,-3.95451,0.103622,0.410774,0.375315,0.0779564,0.0511147,-0.0578528,-0.0152275
2.06,-0.855235,-3.95076,0.104401,0.41129,0.374729,0.0777993,0.0520979,-0.0593066,-0.0161896
2.07,-0.851119,-3.94702,0.105178,0.411816,0.374129,0.0776326,0.0530811,-0.0607603,-0.0171517
2.08,-0.846998,-3.94328,0.105954,0.412352,0.373514,0.0774563,0.0540643,-0.0622141,-0.0181138
2.09,-0.842872,-3.93955,0.106728,0.412897,0.372885,0.0772703,0.0550476,-0.0636678,-0.0190759
2.1,-0.83874,-3.93582,0.107499,0.413453,0.372241,0.0770748,0.0560308,-0.0651216,-0.020038
2.11,-0.834603,-3.93211,0.108269,0.414018,0.371582,0.0768696,0.057014,-0.0665754,-0.0210001
2.12,-0.83046,-3.92839,0.109037,0.414593,0.370909,0.0766548,0.0579972,-0.0680291,-0.0219622
2.13,-0.826311,-3.92469,0.109802,0.415178,0.370222,0.0764303,0.0589804,-0.0694829,-0.0229243
2.14,-0.822156,-3.92099,0.110565,0.415773,0.369519,0.0761963,0.0599636,-0.0709366,-0.0238864
2.15,-0.817996,-3.9173,0.111326,0.416377,0.368803,0.0759526,0.0609468,-0.0723904,-0.0248485
2.16,-0.813829,-3.91361,0.112084,0.416992,0.368072,0.0756993,0.0619301,-0.0738442,-0.0258106
2.17,-0.809656,-3.90994,0.11284,0.417616,0.367326,0.0754364,0.0629133,-0.0752979,-0.0267727
2.18,-0.805476,-3.90627,0.113593,0.41825,0.366566,0.0751639,0.0638965,-0.0767517,-0.0277348
2.19,-0.801291,-3.9026,0.114343,0.418894,0.365791,0.0748817,0.0648797,-0.0782054,-0.0286969
2.2,-0.797098,-3.89895,0.11509,0.419547,0.365002,0.0745899,0.0658629,-0.0796592,-0.029659
2.21,-0.7929,-3.8953,0.115835,0.420211,0.364198,0.0742885,0.0668461,-0.081113,-0.0306211
2.22,-0.788694,-3.89167,0.116576,0.420884,0.363379,0.0739775,0.0678293,-0.0825667,-0.0315832
2.23,-0.784482,-3.88804,0.117314,0.421568,0.362546,0.0736569,0.0688126,-0.0840205,-0.0325453
2.24,-0.780263,-3.88442,0.118049,0.422261,0.361699,0.0733266,0.0697958,-0.0854742,-0.0335074
2.25,-0.776037,-3.8808,0.118781,0.422964,0.360837,0.0729867,0.070779,-0.086928,-0.0344695
2.26,-0.771804,-3.8772,0.119509,0.423676,0.35996,0.0726372,0.0717622,-0.0883818,-0.0354316
2.27,-0.767563,-3.8736,0.120234,0.424399,0.359069,0.0722781,0.0727454,-0.0898355,-0.0363937
2.28,-0.763316,-3.87002,0.120955,0.425131,0.358164,0.0719093,0.0737286,-0.0912893,-0.0373558
2.29,-0.759166,-3.86653,0.121654,0.425855,0.357266,0.0715404,0.0746875,-0.0927071,-0.0382941
2.3,-0.754904,-3.86296,0.122368,0.426599,0.356342,0.0711582,0.0741442,-0.0920908,-0.0381512
2.31,-0.750634,-3.8594,0.123077,0.427338,0.355425,0.0707774,0.0736009,-0.0914745,-0.0380082
2.32,-0.746357,-3.85585,0.123783,0.428071,0.354513,0.0703981,0.0730576,-0.0908582,-0.0378653
2.33,-0.742072,-3.85231,0.124485,0.428799,0.353607,0.0700201,0.0725143,-0.0902419,-0.0377223
2.34,-0.737781,-3.84878,0.125184,0.429521,0.352708,0.0696436,0.071971,-0.0896256,-0.0375794
2.35,-0.733482,-3.84526,0.125878,0.430238,0.351815,0.0692685,0.0714277,-0.0890093,-0.0374364
2.36,-0.729176,-3.84174,0.126569,0.43095,0.350928,0.0688949,0.0708844,-0.088393,-0.0372934
2.37,-0.724863,-3.83824,0.127256,0.431656,0.350047,0.0685227,0.070341,-0.0877767,-0.0371505
2.38,-0.720543,-3.83474,0.127939,0.432357,0.349172,0.0681519,0.0697977,-0.0871604,-0.0370075
2.39,-0.716216,-3.83126,0.128619,0.433052,0.348304,0.0677825,0.0692544,-0.0865441,-0.0368646
2.4,-0.711882,-3.82778,0.129295,0.433742,0.347442,0.0674146,0.0687111,-0.0859278,-0.0367216
2.41,-0.707541,-3.82431,0.129967,0.434426,0.346585,0.0670481,0.0681678,-0.0853115,-0.0365787
2.42,-0.703193,-3.82084,0.130636,0.435105,0.345735,0.066683,0.0676245,-0.0846952,-0.0364357
2.43,-0.698839,-3.81739,0.131301,0.435779,0.344891,0.0663194,0.0670812,-0.0840789,-0.0362927
2.44,-0.694478,-3.81395,0.131962,0.436447,0.344054,0.0659571,0.0665379,-0.0834626,-0.0361498
2.45,-0.69011,-3.81051,0.13262,0.437109,0.343222,0.0655964,0.0659946,-0.0828463,-0.0360068
